"cboocupacao2002";"nome_cbo_ocupacao";"mediana_vinculos";"mediana_rendimentos";"vinculos_ultimo_ano";"media_rendimento_ultimo_ano";"media_salario_hora_ultimo_ano";"vinculos_primeiro_ano";"media_rendimento_primeiro_ano";"media_salario_hora_primeiro_ano";"variacao_rendimentos";"variacao_vinculos";"cbo";"codigo_cbo"
"142110";"Gerente de riscos";"65,5";"12233,750285256074";"101";"11106,322769519453";"73,99615147185833";"34";"8842,256312946180";"51,78229133900330";"-9,21571463736168e-02";"0,54198473282442738";"GERENTES";"14"
"142115";"Gerente financeiro";"578,5";"7827,888403568839";"678";"6846,953294996112";"40,58405718989532";"610";"8149,153413134826";"47,55771009251151";"-1,25312863188686e-01";"0,17199654278305965";"GERENTES";"14"
"142120";"Tecnólogo em gestão administrativo- financeira";"17,5";"6497,423401340157";"101";"6210,729500760880";"38,18265104011963";"6";"10165,299970249667";"57,75738619460038";"-4,41242447768055e-02";"4,77142857142857135";"GERENTES";"14"
"142205";"Gerente de recursos humanos";"358,0";"8982,568549352072";"380";"7907,607642809443";"47,16925056663577";"403";"11674,658331106722";"70,55344020548351";"-1,19671884565820e-01";"0,06145251396648055";"GERENTES";"14"
"142210";"Gerente de departamento pessoal";"352,5";"5935,897335391841";"346";"5287,185274211114";"31,22047040227920";"350";"6207,923301230531";"36,27650999949241";"-1,09286267016932e-01";"-0,01843971631205676";"GERENTES";"14"
"142305";"Gerente comercial";"4506,0";"4825,438509960932";"4405";"4246,123549980977";"24,78641479060860";"4313";"5095,040011227955";"29,33823487713120";"-1,20054365791648e-01";"-0,02241455836662232";"GERENTES";"14"
"142310";"Gerente de comunicação";"216,5";"14109,597748084536";"228";"13445,797300878134";"83,45874080547901";"179";"14506,754742199026";"88,13262604140552";"-4,70460220807157e-02";"0,05311778290993074";"GERENTES";"14"
"142315";"Gerente de marketing";"258,0";"8965,108937472995";"283";"8016,984782078245";"47,67014639074885";"230";"9698,312189198530";"57,29617487708910";"-1,05757125987807e-01";"0,09689922480620150";"GERENTES";"14"
"142320";"Gerente de vendas";"1760,5";"10981,959861401530";"1587";"9780,753817195618";"58,51829809118956";"1713";"10195,630322268327";"59,74180264860980";"-1,09379933943103e-01";"-0,09855154785572284";"GERENTES";"14"
"142405";"Gerente de compras";"219,5";"9771,783774004565";"210";"8373,097212273742";"51,68622451989174";"223";"10131,624079208370";"62,32195306322602";"-1,43135234474967e-01";"-0,04328018223234620";"GERENTES";"14"
"142410";"Gerente de suprimentos";"46,5";"8648,792926288639";"46";"7967,004073531020";"46,14228802109319";"39";"12400,477930444660";"73,31041053934885";"-7,88305210412972e-02";"-0,01075268817204300";"GERENTES";"14"
"142415";"Gerente de almoxarifado";"108,0";"3208,863586805674";"96";"2994,478364958359";"17,11131839669335";"118";"3017,447562538941";"17,14458842351671";"-6,68103258514425e-02";"-0,11111111111111116";"GERENTES";"14"
"142505";"Gerente de infraestrutura de tecnologia da informação";"83,0";"11216,752995891113";"96";"10366,639163982705";"62,63247607132332";"66";"9746,572163716566";"56,48665625232204";"-7,57896542983356e-02";"0,15662650602409633";"GERENTES";"14"
"142510";"Gerente de desenvolvimento de sistemas";"168,5";"16113,626870827915";"174";"16832,393591418906";"102,04888275415605";"129";"14700,959776118798";"85,75859711103166";"4,46061415194021e-02";"0,03264094955489605";"GERENTES";"14"
"142515";"Gerente de operação de tecnologia da informação";"126,0";"13633,842663406896";"168";"13560,698342202146";"81,00358255771263";"80";"14016,791425615087";"81,90374872496005";"-5,36490870626438e-03";"0,33333333333333326";"GERENTES";"14"
"142520";"Gerente de projetos de tecnologia da informação";"358,0";"14560,940543922196";"474";"11297,683957815532";"68,22700506650908";"198";"15430,722642170886";"90,99516830331402";"-2,24110288498414e-01";"0,32402234636871508";"GERENTES";"14"
"142525";"Gerente de segurança da informação";"16,0";"16773,930454366793";"16";"15670,226372592999";"108,26756174100751";"16";"16994,356900306531";"98,03822494905008";"-6,57987753541964e-02";"0,00000000000000000";"GERENTES";"14"
"142530";"Gerente de suporte técnico de tecnologia da informação";"112,0";"10892,871743013618";"132";"9562,073399696163";"56,84471488064767";"80";"11462,929471493566";"68,06377690625098";"-1,22171487438195e-01";"0,17857142857142860";"GERENTES";"14"
"142535";"Tecnólogo em gestão da tecnologia da informação";"115,5";"7892,150612965901";"156";"7580,216090046867";"46,09612789138210";"16";"9710,766692345467";"55,44134192437877";"-3,95246540792773e-02";"0,35064935064935066";"GERENTES";"14"
